date,News Sentiment,,,
1/1/80,-0.04,,,
1/2/80,-0.11,,,
1/3/80,-0.09,,,
1/5/80,-0.07,,,
1/6/80,-0.09,,,
1/7/80,-0.13,,,
1/8/80,-0.20,,,
1/9/80,-0.22,,,
1/10/80,-0.21,,,
1/11/80,-0.23,,,
1/12/80,-0.21,,,
1/13/80,-0.18,,,
1/14/80,-0.16,,,
1/15/80,-0.16,,,
1/16/80,-0.12,,,
1/17/80,-0.12,,,
1/18/80,-0.14,,,
1/19/80,-0.16,,,
1/20/80,-0.17,,,
1/22/80,-0.16,,,
1/24/80,-0.16,,,
1/25/80,-0.24,,,
1/26/80,-0.22,,,
1/27/80,-0.21,,,
1/29/80,-0.23,,,
1/30/80,-0.25,,,
1/31/80,-0.27,,,
2/2/80,-0.26,,,
2/3/80,-0.26,,,
2/4/80,-0.26,,,
2/5/80,-0.27,,,
2/6/80,-0.30,,,
2/7/80,-0.29,,,
2/8/80,-0.28,,,
2/9/80,-0.27,,,
2/10/80,-0.26,,,
2/12/80,-0.27,,,
2/13/80,-0.26,,,
2/14/80,-0.27,,,
2/15/80,-0.26,,,
2/16/80,-0.24,,,
2/17/80,-0.24,,,
2/19/80,-0.23,,,
2/20/80,-0.22,,,
2/21/80,-0.19,,,
2/22/80,-0.22,,,
2/23/80,-0.22,,,
2/24/80,-0.23,,,
2/25/80,-0.21,,,
2/26/80,-0.20,,,
2/27/80,-0.17,,,
2/28/80,-0.16,,,
3/2/80,-0.20,,,
3/3/80,-0.24,,,
3/4/80,-0.28,,,
3/5/80,-0.29,,,
3/6/80,-0.30,,,
3/7/80,-0.29,,,
3/8/80,-0.30,,,
3/9/80,-0.32,,,
3/10/80,-0.35,,,
3/11/80,-0.35,,,
3/12/80,-0.36,,,
3/13/80,-0.36,,,
3/14/80,-0.34,,,
3/15/80,-0.35,,,
3/16/80,-0.37,,,
3/18/80,-0.36,,,
3/19/80,-0.38,,,
3/20/80,-0.38,,,
3/21/80,-0.38,,,
3/22/80,-0.36,,,
3/23/80,-0.38,,,
3/24/80,-0.34,,,
3/25/80,-0.37,,,
3/26/80,-0.39,,,
3/27/80,-0.40,,,
3/28/80,-0.41,,,
3/29/80,-0.38,,,
3/30/80,-0.38,,,
3/31/80,-0.41,,,
4/1/80,-0.40,,,
4/2/80,-0.40,,,
4/3/80,-0.33,,,
4/4/80,-0.35,,,
4/5/80,-0.32,,,
4/6/80,-0.35,,,
4/7/80,-0.45,,,
4/8/80,-0.48,,,
4/9/80,-0.56,,,
4/10/80,-0.59,,,
4/11/80,-0.58,,,
4/12/80,-0.50,,,
4/13/80,-0.53,,,
4/15/80,-0.55,,,
4/16/80,-0.54,,,
4/17/80,-0.55,,,
4/18/80,-0.55,,,
4/19/80,-0.61,,,
4/20/80,-0.61,,,
4/21/80,-0.60,,,
4/22/80,-0.61,,,
4/23/80,-0.58,,,
4/24/80,-0.58,,,
4/25/80,-0.60,,,
4/26/80,-0.55,,,
4/27/80,-0.53,,,
4/28/80,-0.52,,,
4/30/80,-0.55,,,
5/1/80,-0.60,,,
5/2/80,-0.61,,,
5/3/80,-0.62,,,
5/4/80,-0.65,,,
5/5/80,-0.64,,,
5/6/80,-0.68,,,
5/7/80,-0.66,,,
5/8/80,-0.67,,,
5/9/80,-0.66,,,
5/10/80,-0.64,,,
5/11/80,-0.65,,,
5/12/80,-0.60,,,
5/13/80,-0.57,,,
5/14/80,-0.59,,,
5/15/80,-0.57,,,
5/16/80,-0.55,,,
5/17/80,-0.60,,,
5/18/80,-0.61,,,
5/19/80,-0.60,,,
5/21/80,-0.63,,,
5/22/80,-0.63,,,
5/23/80,-0.63,,,
5/24/80,-0.62,,,
5/25/80,-0.62,,,
5/26/80,-0.67,,,
5/27/80,-0.69,,,
5/29/80,-0.70,,,
5/30/80,-0.71,,,
5/31/80,-0.72,,,
6/1/80,-0.71,,,
6/2/80,-0.69,,,
6/3/80,-0.60,,,
6/4/80,-0.61,,,
6/5/80,-0.63,,,
6/6/80,-0.68,,,
6/7/80,-0.71,,,
6/8/80,-0.69,,,
6/9/80,-0.70,,,
6/10/80,-0.69,,,
6/11/80,-0.70,,,
6/12/80,-0.71,,,
6/13/80,-0.69,,,
6/14/80,-0.66,,,
6/15/80,-0.67,,,
6/16/80,-0.65,,,
6/17/80,-0.66,,,
6/18/80,-0.65,,,
6/19/80,-0.64,,,
6/20/80,-0.61,,,
6/21/80,-0.59,,,
6/22/80,-0.60,,,
6/23/80,-0.57,,,
6/24/80,-0.58,,,
6/25/80,-0.57,,,
6/26/80,-0.57,,,
6/27/80,-0.56,,,
6/28/80,-0.54,,,
6/29/80,-0.53,,,
6/30/80,-0.50,,,
7/1/80,-0.52,,,
7/2/80,-0.53,,,
7/3/80,-0.53,,,
7/4/80,-0.54,,,
7/5/80,-0.49,,,
7/6/80,-0.47,,,
7/7/80,-0.40,,,
7/8/80,-0.39,,,
7/9/80,-0.40,,,
7/10/80,-0.39,,,
7/11/80,-0.40,,,
7/12/80,-0.39,,,
7/13/80,-0.38,,,
7/14/80,-0.34,,,
7/15/80,-0.37,,,
7/16/80,-0.39,,,
7/17/80,-0.43,,,
7/18/80,-0.42,,,
7/19/80,-0.47,,,
7/20/80,-0.46,,,
7/21/80,-0.41,,,
7/22/80,-0.40,,,
7/23/80,-0.39,,,
7/24/80,-0.40,,,
7/25/80,-0.39,,,
7/26/80,-0.40,,,
7/27/80,-0.40,,,
7/28/80,-0.38,,,
7/29/80,-0.38,,,
7/30/80,-0.37,,,
7/31/80,-0.36,,,
8/1/80,-0.35,,,
8/2/80,-0.35,,,
8/3/80,-0.35,,,
8/4/80,-0.33,,,
8/5/80,-0.31,,,
8/6/80,-0.29,,,
8/7/80,-0.30,,,
8/8/80,-0.30,,,
8/9/80,-0.29,,,
8/10/80,-0.29,,,
8/11/80,-0.28,,,
8/12/80,-0.27,,,
8/13/80,-0.29,,,
8/14/80,-0.30,,,
8/15/80,-0.31,,,
8/16/80,-0.29,,,
8/17/80,-0.28,,,
8/18/80,-0.29,,,
8/19/80,-0.29,,,
8/20/80,-0.28,,,
8/21/80,-0.30,,,
8/22/80,-0.32,,,
8/23/80,-0.29,,,
8/24/80,-0.28,,,
8/25/80,-0.28,,,
8/26/80,-0.26,,,
8/27/80,-0.26,,,
8/28/80,-0.25,,,
8/29/80,-0.22,,,
8/30/80,-0.20,,,
8/31/80,-0.24,,,
9/2/80,-0.22,,,
9/3/80,-0.25,,,
9/4/80,-0.24,,,
9/5/80,-0.18,,,
9/6/80,-0.15,,,
9/7/80,-0.14,,,
9/8/80,-0.10,,,
9/9/80,-0.15,,,
9/10/80,-0.14,,,
9/11/80,-0.16,,,
9/12/80,-0.14,,,
9/13/80,-0.17,,,
9/14/80,-0.17,,,
9/15/80,-0.11,,,
9/16/80,-0.09,,,
9/17/80,-0.10,,,
9/18/80,-0.11,,,
9/19/80,-0.10,,,
9/20/80,-0.09,,,
9/21/80,-0.14,,,
9/22/80,-0.13,,,
9/23/80,-0.16,,,
9/24/80,-0.21,,,
9/25/80,-0.20,,,
9/26/80,-0.20,,,
9/27/80,-0.20,,,
9/28/80,-0.21,,,
9/29/80,-0.17,,,
9/30/80,-0.15,,,
10/1/80,-0.13,,,
10/2/80,-0.12,,,
10/3/80,-0.13,,,
10/4/80,-0.14,,,
10/5/80,-0.15,,,
10/6/80,-0.10,,,
10/7/80,-0.13,,,
